HARVARD COLLEGE  PRESIDENT & FELLOWS OF,206643,NSF
UNIVERSITY OF CALIFORNIA  IRVINE,455000,NSF
UNIVERSITY OF NEBRASKA,576778,NSF
METHODIST HOSPITAL RESEARCH INSTITUTE  THE,228398,NSF
UNIVERSITY OF TEXAS AT AUSTIN,749801,NSF
NORTHERN ILLINOIS UNIVERSITY INC,1890,NSF
UNIVERSITY OF WASHINGTON,800000,NSF
UNIVERSITY OF CALIFORNIA  SAN DIEGO,316289,NSF
WINSTON-SALEM STATE UNIVERSITY (INC),64138,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,459000,NSF
YALE UNIVERSITY,280000,NSF
UNIVERSITY OF ALASKA FAIRBANKS,1402992,NSF
IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY,170550,NSF
UNIVERSITY OF WASHINGTON,499210,NSF
WESTERN STATE COLORADO UNIVERSITY,63599,NSF
UNIVERSITY OF MASSACHUSETTS,667000,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,119446,NSF
REGENTS OF THE UNIVERSITY OF COLORADO  THE,805104,NSF
UNIVERSITY OF ILLINOIS,708763,NSF
UNIVERSITY OF CALIFORNIA  SAN FRANCISCO,400000,NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,91882,NSF
WASHINGTON UNIVERSITY  THE,174994,NSF
FLORIDA INTERNATIONAL UNIVERSITY,338833,NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA  THE,333000,NSF
EXPLORATORIUM  THE,838069,NSF
TWIN CITIES PUBLIC TELEVISION  INC.,250000,NSF
CALIFORNIA ACADEMY OF SCIENCES,610644,NSF
CARNEGIE MELLON UNIVERSITY,333333,NSF
MONTANA STATE UNIVERSITY  INC,61736,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,484000,NSF
UNIVERSITY OF CALIFORNIA  DAVIS,558925,NSF
UNIVERSITY OF FLORIDA,392280,NSF
LELAND STANFORD JUNIOR UNIVERSITY  THE,333334,NSF
DUKE UNIVERSITY,165000,NSF
UNIVERSITY OF CALIFORNIA  SANTA CRUZ,51596,NSF
VANDERBILT UNIVERSITY  THE,246457,NSF
SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,282942,NSF
YALE UNIVERSITY,850000,NSF
UNIVERSITY OF NEW MEXICO,422472,NSF
SOUTHERN ILLINOIS UNIVERSITY,200002,NSF
UNIVERSITY OF CALIFORNIA  SAN DIEGO,333000,NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA  THE,180500,NSF
RESEARCH TRIANGLE INSTITUTE,580000,NSF
CARNEGIE MELLON UNIVERSITY,61944.18,NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,1948941,NSF
MINERALS  METALS AND MATERIALS SOCIETY  INC.   THE,5000,NSF
